Date,Day,Lane-1,Lane-2,Lane-3,Lane-4,Month,Time,Year
1,Saturday,6,6,1,3,July,0:00,2020
1,Saturday,0,5,4,8,July,1:00,2020
1,Saturday,3,2,5,7,July,2:00,2020
1,Saturday,6,0,8,8,July,3:00,2020
1,Saturday,6,7,2,6,July,4:00,2020
1,Saturday,8,0,0,3,July,5:00,2020
1,Saturday,2,1,5,7,July,6:00,2020
1,Saturday,4,5,7,4,July,7:00,2020
1,Saturday,31,26,16,22,July,8:00,2020
1,Saturday,27,32,36,22,July,9:00,2020
1,Saturday,25,10,27,21,July,10:00,2020
1,Saturday,21,12,36,20,July,11:00,2020
1,Saturday,27,30,28,18,July,12:00,2020
1,Saturday,21,33,38,25,July,13:00,2020
1,Saturday,26,33,38,24,July,14:00,2020
1,Saturday,29,16,17,22,July,15:00,2020
1,Saturday,29,14,36,20,July,16:00,2020
1,Saturday,25,34,37,25,July,17:00,2020
1,Saturday,35,21,39,21,July,18:00,2020
1,Saturday,28,20,26,24,July,19:00,2020
1,Saturday,29,24,27,22,July,20:00,2020
1,Saturday,32,12,34,20,July,21:00,2020
1,Saturday,20,33,23,22,July,22:00,2020
1,Saturday,34,12,10,18,July,23:00,2020
2,Sunday,4,7,4,5,July,0:00,2020
2,Sunday,5,8,1,5,July,1:00,2020
2,Sunday,0,8,0,1,July,2:00,2020
2,Sunday,7,4,5,3,July,3:00,2020
2,Sunday,4,3,1,4,July,4:00,2020
2,Sunday,2,5,3,6,July,5:00,2020
2,Sunday,2,0,1,7,July,6:00,2020
2,Sunday,5,3,8,2,July,7:00,2020
2,Sunday,23,30,37,20,July,8:00,2020
2,Sunday,16,23,10,23,July,9:00,2020
2,Sunday,17,13,40,20,July,10:00,2020
2,Sunday,29,24,36,21,July,11:00,2020
2,Sunday,32,24,10,19,July,12:00,2020
2,Sunday,15,15,11,22,July,13:00,2020
2,Sunday,24,32,40,25,July,14:00,2020
2,Sunday,21,14,37,19,July,15:00,2020
2,Sunday,28,22,31,22,July,16:00,2020
2,Sunday,31,13,21,19,July,17:00,2020
2,Sunday,26,30,40,17,July,18:00,2020
2,Sunday,18,12,12,19,July,19:00,2020
2,Sunday,31,22,17,19,July,20:00,2020
2,Sunday,29,26,36,24,July,21:00,2020
2,Sunday,31,22,33,19,July,22:00,2020
2,Sunday,18,17,17,21,July,23:00,2020
3,Monday,2,7,7,0,July,0:00,2020
3,Monday,8,6,2,4,July,1:00,2020
3,Monday,2,5,8,3,July,2:00,2020
3,Monday,6,3,3,6,July,3:00,2020
3,Monday,4,8,2,1,July,4:00,2020
3,Monday,7,1,2,1,July,5:00,2020
3,Monday,8,0,7,1,July,6:00,2020
3,Monday,4,6,7,8,July,7:00,2020
3,Monday,27,18,10,19,July,8:00,2020
3,Monday,30,13,39,20,July,9:00,2020
3,Monday,24,25,13,20,July,10:00,2020
3,Monday,15,31,20,17,July,11:00,2020
3,Monday,34,18,15,24,July,12:00,2020
3,Monday,35,26,26,20,July,13:00,2020
3,Monday,16,22,23,23,July,14:00,2020
3,Monday,23,32,12,20,July,15:00,2020
3,Monday,25,34,24,19,July,16:00,2020
3,Monday,25,16,20,21,July,17:00,2020
3,Monday,18,19,10,19,July,18:00,2020
3,Monday,34,29,40,24,July,19:00,2020
3,Monday,27,21,37,19,July,20:00,2020
3,Monday,27,11,17,25,July,21:00,2020
3,Monday,26,13,17,17,July,22:00,2020
3,Monday,25,16,12,24,July,23:00,2020
4,Tuesday,1,5,3,4,July,0:00,2020
4,Tuesday,3,3,6,2,July,1:00,2020
4,Tuesday,4,0,6,6,July,2:00,2020
4,Tuesday,8,0,4,1,July,3:00,2020
4,Tuesday,7,7,4,6,July,4:00,2020
4,Tuesday,8,3,3,0,July,5:00,2020
4,Tuesday,2,4,8,4,July,6:00,2020
4,Tuesday,6,7,1,5,July,7:00,2020
4,Tuesday,24,30,39,19,July,8:00,2020
4,Tuesday,32,11,29,18,July,9:00,2020
4,Tuesday,21,26,27,21,July,10:00,2020
4,Tuesday,20,35,25,18,July,11:00,2020
4,Tuesday,31,28,16,22,July,12:00,2020
4,Tuesday,32,11,12,17,July,13:00,2020
4,Tuesday,16,18,26,18,July,14:00,2020
4,Tuesday,22,20,17,24,July,15:00,2020
4,Tuesday,27,24,22,20,July,16:00,2020
4,Tuesday,20,19,36,18,July,17:00,2020
4,Tuesday,23,13,22,21,July,18:00,2020
4,Tuesday,26,27,40,20,July,19:00,2020
4,Tuesday,34,31,21,22,July,20:00,2020
4,Tuesday,26,14,30,18,July,21:00,2020
4,Tuesday,27,24,24,20,July,22:00,2020
4,Tuesday,17,10,31,25,July,23:00,2020
5,Wednesday,7,8,1,5,July,0:00,2020
5,Wednesday,2,0,3,5,July,1:00,2020
5,Wednesday,1,0,6,2,July,2:00,2020
5,Wednesday,7,6,4,6,July,3:00,2020
5,Wednesday,7,8,7,1,July,4:00,2020
5,Wednesday,0,0,1,6,July,5:00,2020
5,Wednesday,1,1,4,1,July,6:00,2020
5,Wednesday,5,2,2,2,July,7:00,2020
5,Wednesday,26,21,27,22,July,8:00,2020
5,Wednesday,30,21,27,25,July,9:00,2020
5,Wednesday,31,31,36,16,July,10:00,2020
5,Wednesday,22,25,18,22,July,11:00,2020
5,Wednesday,16,16,32,17,July,12:00,2020
5,Wednesday,25,28,14,18,July,13:00,2020
5,Wednesday,18,20,15,17,July,14:00,2020
5,Wednesday,28,31,37,23,July,15:00,2020
5,Wednesday,21,16,37,25,July,16:00,2020
5,Wednesday,25,35,26,16,July,17:00,2020
5,Wednesday,29,28,35,19,July,18:00,2020
5,Wednesday,15,19,12,21,July,19:00,2020
5,Wednesday,15,11,16,18,July,20:00,2020
5,Wednesday,34,31,15,19,July,21:00,2020
5,Wednesday,34,17,19,16,July,22:00,2020
5,Wednesday,17,12,13,20,July,23:00,2020
6,Thursday,7,7,3,0,July,0:00,2020
6,Thursday,4,6,4,5,July,1:00,2020
6,Thursday,6,6,8,3,July,2:00,2020
6,Thursday,6,7,6,1,July,3:00,2020
6,Thursday,6,0,0,1,July,4:00,2020
6,Thursday,2,0,2,0,July,5:00,2020
6,Thursday,1,5,0,6,July,6:00,2020
6,Thursday,3,5,7,8,July,7:00,2020
6,Thursday,26,27,11,21,July,8:00,2020
6,Thursday,15,32,34,23,July,9:00,2020
6,Thursday,29,17,31,22,July,10:00,2020
6,Thursday,19,23,39,25,July,11:00,2020
6,Thursday,20,28,30,17,July,12:00,2020
6,Thursday,32,18,23,16,July,13:00,2020
6,Thursday,21,17,40,24,July,14:00,2020
6,Thursday,21,16,11,22,July,15:00,2020
6,Thursday,19,33,13,20,July,16:00,2020
6,Thursday,34,20,14,16,July,17:00,2020
6,Thursday,22,27,28,24,July,18:00,2020
6,Thursday,23,19,36,25,July,19:00,2020
6,Thursday,17,32,15,20,July,20:00,2020
6,Thursday,32,24,17,20,July,21:00,2020
6,Thursday,17,25,39,21,July,22:00,2020
6,Thursday,21,12,25,20,July,23:00,2020
7,Friday,0,2,5,2,July,0:00,2020
7,Friday,0,4,6,5,July,1:00,2020
7,Friday,2,4,7,8,July,2:00,2020
7,Friday,6,1,1,7,July,3:00,2020
7,Friday,6,6,1,1,July,4:00,2020
7,Friday,6,4,0,8,July,5:00,2020
7,Friday,6,4,8,7,July,6:00,2020
7,Friday,4,5,4,2,July,7:00,2020
7,Friday,15,20,11,23,July,8:00,2020
7,Friday,28,23,21,19,July,9:00,2020
7,Friday,29,12,38,22,July,10:00,2020
7,Friday,23,11,38,23,July,11:00,2020
7,Friday,18,12,10,18,July,12:00,2020
7,Friday,18,32,13,25,July,13:00,2020
7,Friday,18,25,26,17,July,14:00,2020
7,Friday,33,32,33,16,July,15:00,2020
7,Friday,16,22,18,20,July,16:00,2020
7,Friday,26,20,38,20,July,17:00,2020
7,Friday,26,14,17,16,July,18:00,2020
7,Friday,30,23,32,17,July,19:00,2020
7,Friday,24,19,16,19,July,20:00,2020
7,Friday,26,19,29,21,July,21:00,2020
7,Friday,22,23,40,20,July,22:00,2020
7,Friday,15,19,29,20,July,23:00,2020
8,Saturday,7,7,8,1,July,0:00,2020
8,Saturday,3,7,5,1,July,1:00,2020
8,Saturday,1,3,8,8,July,2:00,2020
8,Saturday,5,2,2,1,July,3:00,2020
8,Saturday,8,0,7,7,July,4:00,2020
8,Saturday,2,4,2,2,July,5:00,2020
8,Saturday,5,7,6,7,July,6:00,2020
8,Saturday,0,6,0,6,July,7:00,2020
