Day,Date,Month,Year,Time,Lane-1,Lane-2,Lane-3,Lane-4,TotalCars,TotalTime
Saturday,1,July,2020,00:00,8,1,6,7,22,85
Saturday,1,July,2020,01:00,1,1,3,8,13,47
Saturday,1,July,2020,02:00,8,5,4,5,22,61
Saturday,1,July,2020,03:00,7,2,1,5,15,58
Saturday,1,July,2020,04:00,7,0,4,4,15,57
Saturday,1,July,2020,05:00,5,6,7,0,18,67
Saturday,1,July,2020,06:00,6,7,1,1,15,56
Saturday,1,July,2020,07:00,0,1,2,3,6,17
Saturday,1,July,2020,08:00,18,26,34,24,102,202
Saturday,1,July,2020,09:00,28,16,14,21,79,315
Saturday,1,July,2020,10:00,19,35,22,20,96,188
Saturday,1,July,2020,11:00,26,15,26,19,86,253
Saturday,1,July,2020,12:00,16,35,22,17,90,356
Saturday,1,July,2020,13:00,32,12,19,16,79,232
Saturday,1,July,2020,14:00,18,21,13,25,77,304
Saturday,1,July,2020,15:00,28,32,21,23,104,204
Saturday,1,July,2020,16:00,34,30,15,21,100,198
Saturday,1,July,2020,17:00,25,16,36,25,102,201
Saturday,1,July,2020,18:00,19,17,38,17,91,270
Saturday,1,July,2020,19:00,21,27,29,25,102,404
Saturday,1,July,2020,20:00,33,28,18,16,95,282
Saturday,1,July,2020,21:00,25,14,35,17,91,360
Saturday,1,July,2020,22:00,17,31,20,17,85,253
Saturday,1,July,2020,23:00,18,17,12,21,68,269
Sunday,2,July,2020,00:00,3,5,5,4,17,64
Sunday,2,July,2020,01:00,2,1,0,0,3,7
Sunday,2,July,2020,02:00,7,6,6,6,25,47
Sunday,2,July,2020,03:00,6,5,7,1,19,35
Sunday,2,July,2020,04:00,2,3,8,4,17,46
Sunday,2,July,2020,05:00,3,6,5,7,21,62
Sunday,2,July,2020,06:00,6,1,2,3,12,43
Sunday,2,July,2020,07:00,5,3,0,7,15,57
Sunday,2,July,2020,08:00,30,20,15,16,81,160
Sunday,2,July,2020,09:00,25,34,37,20,116,343
Sunday,2,July,2020,10:00,22,33,35,18,108,429
Sunday,2,July,2020,11:00,17,32,14,21,84,334
Sunday,2,July,2020,12:00,34,14,36,18,102,301
Sunday,2,July,2020,13:00,28,14,13,19,74,145
Sunday,2,July,2020,14:00,31,12,38,20,101,299
Sunday,2,July,2020,15:00,25,25,19,17,86,254
Sunday,2,July,2020,16:00,15,12,14,22,63,122
Sunday,2,July,2020,17:00,18,24,34,25,101,200
Sunday,2,July,2020,18:00,24,28,37,16,105,418
Sunday,2,July,2020,19:00,30,35,39,22,126,499
Sunday,2,July,2020,20:00,15,33,15,16,79,233
Sunday,2,July,2020,21:00,34,29,40,19,122,483
Sunday,2,July,2020,22:00,30,22,29,24,105,209
Sunday,2,July,2020,23:00,35,26,33,18,112,445
Monday,3,July,2020,00:00,4,5,1,0,10,19
Monday,3,July,2020,01:00,5,4,4,0,13,47
Monday,3,July,2020,02:00,6,6,8,6,26,74
Monday,3,July,2020,03:00,1,0,5,1,7,13
Monday,3,July,2020,04:00,3,6,5,7,21,39
Monday,3,July,2020,05:00,2,3,5,5,15,57
Monday,3,July,2020,06:00,6,1,4,5,16,27
Monday,3,July,2020,07:00,3,6,5,7,21,81
Monday,3,July,2020,08:00,26,18,24,24,92,272
Monday,3,July,2020,09:00,32,15,21,17,85,168
Monday,3,July,2020,10:00,35,20,35,18,108,212
Monday,3,July,2020,11:00,21,21,20,23,85,167
Monday,3,July,2020,12:00,16,28,25,21,90,356
Monday,3,July,2020,13:00,21,18,33,23,95,283
Monday,3,July,2020,14:00,25,26,26,19,96,287
Monday,3,July,2020,15:00,27,31,31,19,108,215
Monday,3,July,2020,16:00,29,10,18,18,75,296
Monday,3,July,2020,17:00,22,21,24,18,85,168
